"File","Line","Type","Function","Detail"
"src\crazycar\control\optimizer_api.py","87","MAGIC_NUMBER","","Number 60 needs comment with unit/meaning"
"src\crazycar\control\optimizer_api.py","167","MAGIC_NUMBER","","Number 20 needs comment with unit/meaning"
"src\crazycar\control\optimizer_api.py","169","MAGIC_NUMBER","","Number 20 needs comment with unit/meaning"
"src\crazycar\control\optimizer_api.py","306","MAGIC_NUMBER","","Number 1.1 needs comment with unit/meaning"
"src\crazycar\control\optimizer_api.py","308","MAGIC_NUMBER","","Number 1.1 needs comment with unit/meaning"
"src\crazycar\control\optimizer_api.py","80","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_api.py","254","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_api.py","258","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_workers.py","20","MAGIC_NUMBER","","Number 5.0 needs comment with unit/meaning"
"src\crazycar\control\optimizer_workers.py","50","MAGIC_NUMBER","","Number 5.0 needs comment with unit/meaning"
"src\crazycar\control\optimizer_workers.py","88","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_workers.py","146","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_workers.py","150","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_workers.py","187","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_workers.py","191","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_workers.py","214","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_workers.py","218","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\sim\finish_detection.py","52","MAGIC_NUMBER","","Number 0.5 needs comment with unit/meaning"
"src\crazycar\sim\finish_detection.py","203","MAGIC_NUMBER","","Number 80 needs comment with unit/meaning"
"src\crazycar\sim\finish_detection.py","238","MAGIC_NUMBER","","Number 10.0 needs comment with unit/meaning"
"src\crazycar\sim\finish_detection.py","248","MAGIC_NUMBER","","Number 3600 needs comment with unit/meaning"
"src\crazycar\sim\finish_detection.py","250","MAGIC_NUMBER","","Number 60 needs comment with unit/meaning"
"src\crazycar\sim\loop.py","363","MAGIC_NUMBER","","Number 130 needs comment with unit/meaning"
"src\crazycar\sim\loop.py","366","MAGIC_NUMBER","","Number 130 needs comment with unit/meaning"
"src\crazycar\sim\loop.py","214","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","221","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","224","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","238","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","241","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","274","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","277","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","279","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","282","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","299","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","302","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","345","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","348","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","353","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\loop.py","356","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\sim\map_service.py","56","MAGIC_NUMBER","","Number 1920 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","99","MAGIC_NUMBER","","Number 255 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","100","MAGIC_NUMBER","","Number 0.8 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","193","MAGIC_NUMBER","","Number 200 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","250","MAGIC_NUMBER","","Number 8.0 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","255","MAGIC_NUMBER","","Number 360.0 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","318","MAGIC_NUMBER","","Number 180.0 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","319","MAGIC_NUMBER","","Number 360.0 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","402","MAGIC_NUMBER","","Number 0.5 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","409","MAGIC_NUMBER","","Number 20 needs comment with unit/meaning"
"src\crazycar\sim\map_service.py","88","DUPLICATE_COMMENT","","Duplicate: -------------------------"
"src\crazycar\sim\map_service.py","123","DUPLICATE_COMMENT","","Duplicate: ============================================================================="
"src\crazycar\sim\map_service.py","173","DUPLICATE_COMMENT","","Duplicate: -------------------------------------------------------------------------"
"src\crazycar\sim\map_service.py","196","DUPLICATE_COMMENT","","Duplicate: -------------------------------------------------------------------------"
"src\crazycar\sim\map_service.py","199","DUPLICATE_COMMENT","","Duplicate: -------------------------------------------------------------------------"
"src\crazycar\sim\map_service.py","342","DUPLICATE_COMMENT","","Duplicate: -------------------------------------------------------------------------"
"src\crazycar\sim\map_service.py","345","DUPLICATE_COMMENT","","Duplicate: -------------------------------------------------------------------------"
"src\crazycar\sim\map_service.py","364","DUPLICATE_COMMENT","","Duplicate: -------------------------------------------------------------------------"
"src\crazycar\sim\map_service.py","367","DUPLICATE_COMMENT","","Duplicate: -------------------------------------------------------------------------"
"src\crazycar\sim\modes.py","168","DUPLICATE_COMMENT","","Duplicate: -------------------------"
"src\crazycar\sim\simulation.py","177","MAGIC_NUMBER","","Number 15 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","178","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","182","MAGIC_NUMBER","","Number 0.7 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","183","MAGIC_NUMBER","","Number 180 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","184","MAGIC_NUMBER","","Number 0.73 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","186","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","187","MAGIC_NUMBER","","Number 40 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","203","MAGIC_NUMBER","","Number 215 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","205","MAGIC_NUMBER","","Number 45 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","206","MAGIC_NUMBER","","Number 255 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","207","MAGIC_NUMBER","","Number 1700 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","208","MAGIC_NUMBER","","Number 530 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","210","MAGIC_NUMBER","","Number 30 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","211","MAGIC_NUMBER","","Number 500 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","213","MAGIC_NUMBER","","Number 200 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","216","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","217","MAGIC_NUMBER","","Number 30 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","218","MAGIC_NUMBER","","Number 30 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","219","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","264","MAGIC_NUMBER","","Number 280 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","377","MAGIC_NUMBER","","Number 19 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","378","MAGIC_NUMBER","","Number 15 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","379","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","383","MAGIC_NUMBER","","Number 0.7 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","384","MAGIC_NUMBER","","Number 180 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","385","MAGIC_NUMBER","","Number 0.73 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","387","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","388","MAGIC_NUMBER","","Number 40 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","404","MAGIC_NUMBER","","Number 215 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","406","MAGIC_NUMBER","","Number 45 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","407","MAGIC_NUMBER","","Number 255 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","408","MAGIC_NUMBER","","Number 1700 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","409","MAGIC_NUMBER","","Number 530 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","411","MAGIC_NUMBER","","Number 30 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","412","MAGIC_NUMBER","","Number 500 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","414","MAGIC_NUMBER","","Number 200 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","417","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","418","MAGIC_NUMBER","","Number 30 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","419","MAGIC_NUMBER","","Number 30 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","420","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","454","MAGIC_NUMBER","","Number 280 needs comment with unit/meaning"
"src\crazycar\sim\simulation.py","73","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\sim\simulation.py","342","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\sim\simulation.py","348","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\sim\simulation.py","360","DUPLICATE_COMMENT","","Duplicate: --- Config/Runtime ---"
"src\crazycar\sim\simulation.py","366","DUPLICATE_COMMENT","","Duplicate: --- Pygame init & Window (lazy) ---"
"src\crazycar\sim\simulation.py","375","DUPLICATE_COMMENT","","Duplicate: --- UI-Setup (Fonts/Clock) ---"
"src\crazycar\sim\simulation.py","426","DUPLICATE_COMMENT","","Duplicate: UI rects bundle for ModeManager (encapsulates click areas for dialog/mode selection/snapshots)"
"src\crazycar\sim\simulation.py","436","DUPLICATE_COMMENT","","Duplicate: Initial toggles (can now be drawn, screen exists)"
"src\crazycar\sim\simulation.py","445","DUPLICATE_COMMENT","","Duplicate: --- Map-Service (loads ""Racemap.png"", scales/resize, blit) ---"
"src\crazycar\sim\simulation.py","448","DUPLICATE_COMMENT","","Duplicate: --- Vehicles (spawn point from MapService) ---"
"src\crazycar\sim\simulation.py","458","DUPLICATE_COMMENT","","Duplicate: --- Manager (Events/Modus) ---"
"src\crazycar\sim\simulation.py","485","DUPLICATE_COMMENT","","Duplicate: --- UI context for the loop (centralizes everything the loop needs for drawing) ---"
"src\crazycar\sim\simulation.py","536","DUPLICATE_COMMENT","","Duplicate: No auto-quit here: caller may want to reuse window"
"src\crazycar\sim\state.py","55","MAGIC_NUMBER","","Number 1920 needs comment with unit/meaning"
"src\crazycar\sim\state.py","80","MAGIC_NUMBER","","Number 0.01 needs comment with unit/meaning"
"src\crazycar\sim\state.py","90","MAGIC_NUMBER","","Number 1234 needs comment with unit/meaning"
"src\crazycar\sim\state.py","160","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\sim\state.py","161","MAGIC_NUMBER","","Number 1234 needs comment with unit/meaning"
"src\crazycar\sim\toggle_button.py","16","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
